ruta,tipo,estado,accion,riesgo,justificacion,owner
docs/ADDENDUM_OFFLINE_FIRST_v1.0.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/ADDENDUM_SEGURIDAD_BACKLOG_v1.0.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/ADDENDUM_SEGURIDAD_v1.0.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/ADDENDUM_SEGURIDAD_v1.1.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/ARQUITECTURA_DOMINIO_Y_CONTROL_v1.0.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/AUDITORIA_IA.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/Auditoría técnica profunda del repositorio.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/BILLING_KERNEL_v1.0.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/CONTRACT_PACK_v1.0.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/CONTRACT_PACK_v1.1.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/CONTRACT_PACK_v2.0.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/ESTANDAR_COMENTARIOS.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/FUTURAS_MEJORAS.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/MATRIZ AVANZADA DE ENDURECIMIENTO DE KERNELS — NECKTRAL.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/PLAN_BILLING_INVENTORY_CONTABLE_AVANZADO_v1.0.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
